196,330616,CHENGAM
197,330617,THANDRAMPET
198,330618,JAWADHU HILLS
199,332901,ALANGULAM
200,332902,AMBASAMUDRAM
201,332903,CHERANMAHADEVI
202,332904,KADAYAM
203,332905,KADAYANALLUR
204,332906,KALAKAD
205,332907,KEELAPAVOOR
206,332908,KURUVIKULAM
207,332909,MANUR
208,332910,MELANEELITHANALLUR
209,332911,NANGUNERI
210,332912,PALAYAMKOTTAI RURAL
211,332913,PAPPAKUDI
212,332914,RADHAPURAM
213,332915,SANKARANKOVIL
214,332916,SHENGOTTAI
215,332917,TENKASI
216,332918,VALLIYOOR
217,332919,VASUDEVANALLUR
218,332920,PALAYAMKOTTAI URABN
219,332921,TIRUNELVELI URBAN
220,331401,KARUR
221,331402,THANTHONI
222,331403,ARAVAKURICHI
223,331404,K.PARAMATHI
224,331405,KRISHNARAYAPURAM
225,331406,KADAVOOR
226,331407,KULITHALAI
227,331408,THOGAIMALAI
228,330301,Kanchipuram
229,330302,Walajabad
230,330303,Uthiramerur
231,330304,Sriperumbudr
232,330305,Kundrathur
233,330306,Thiruporur
234,330307,Kattankolathur
235,330308,Thirukalukundram
236,330309,St.Thomas Mount (Urban)
237,330310,Acharapakkam
238,330311,Maduranthagam
239,330312,Lathur
240,330313,Chithamur
241,330314,St. Thomas Mount (Rural)
242,330501,DHARMAPURI
243,330502,NALLAMPALLI
244,330503,PENNAGARAM
245,330504,PALACODE
246,330505,KARIMANGALAM
247,330506,MORAPPUR
248,330507,PAPPIREDDIPATTY
249,330508,HARUR
250,331301,ATHOOR
251,331302,BATLAGUNDU
252,331303,DINDIGUL
253,331304,GUJILIAMPARAI
254,331305,KODIKANAL
255,331306,NATHAM
256,331307,NILAKKOTTAI
257,331308,ODDANCHATRAM
258,331309,PALANI
259,331310,REDDIARCHATRAM
260,331311,SANARPATTY
261,331312,THOPPAMPATTY
262,331313,VADAMADURAI
263,331314,VEDASANDUR
264,331315,DINDIGUL URBAN
265,331316,PALANI-URBAN
266,331001,AMMAPETTAI
267,331002,ANTHIYUR
268,331003,BHAVANI
269,331004,BHAVANI SAGAR
270,331005,CHENNIMALAI
271,331006,DHARAPURAM
272,331007,ERODE
273,331008,GOBI
274,331009,KANGEYAM
275,331010,KODUMUDI
276,331011,KUNDADAM
277,331012,MODAKURICHI
278,331013,MULANUR
279,331014,NAMBIYUR
280,331015,PERUNDURAI
281,331016,SATHY
282,331017,THALAVADY
283,331018,T.N. PALAYAM
284,331019,UTHUKULI
285,331020,VELLOKOIL
286,330901,NAMAKKAL
